,trend,total_volume,social_buzz,more_social,one_word,actual_word
1,saksutopia,0.0,0,True,True,False
2,oscars2016,0.0,9,True,True,False
5,cfdaawards,480.0,12,False,True,False
6,billboardmusicawards,1260.0,5,False,True,False
24,mtvmovieawards,7090.0,1003,False,True,False
27,pregnancyfashion,120.0,233,True,True,False
28,hollywoodawards,150.0,4,False,True,False
31,maternitystyle,230.0,389,True,True,False
32,mkshanghai,110.0,0,False,True,False
35,maternityfashion,190.0,283,True,True,False
36,microdermobrasian,120.0,32,False,True,False
53,sakscanada,60.0,6,False,True,False
65,criticschoiceawards,230.0,3,False,True,False
84,mpfw,620.0,0,False,True,False
90,cannesfilmfestival,690.0,5,False,True,False
95,acmawards,4070.0,330,False,True,False
96,mtvvma,5170.0,3,False,True,False
101,newyorkfashionweek,1540.0,34,False,True,False
102,burshed,330.0,0,False,True,False
106,milanfashionweek,610.0,29,False,True,False
112,cmtawards,1880.0,0,False,True,False
118,parisfashionweek,1280.0,61,False,True,False
125,trapeztaschen,570.0,0,False,True,False
133,tonyawards,3850.0,23,False,True,False
153,laminted,650.0,40,False,True,False
170,emmyawards,1310.0,0,False,True,False
184,lowlighting,530.0,0,False,True,False
217,tribecafilm,1100.0,10,False,True,False
227,pmfw,1160.0,0,False,True,False
236,academyawards,2760.0,4,False,True,False
242,fashiondiaries,1400.0,410,False,True,False
243,cmaawards,3480.0,32,False,True,False
248,teenchoiceawards,22320.0,0,False,True,False
285,cottoninc,1400.0,0,False,True,False
303,londonfashionweek,5610.0,48,False,True,False
306,criticschoice,900.0,11,False,True,False
307,styleweek,1210.0,10,False,True,False
310,lookoftheday,2030.0,606,False,True,False
333,nyfwm,7560.0,33,False,True,False
337,teenchoice,43050.0,0,False,True,False
342,styleblogger,1830.0,438,False,True,False
343,fabmom,1850.0,224,False,True,False
358,armparty,1640.0,81,False,True,False
359,pictureoftheday,1600.0,38,False,True,False
373,latingrammy,5020.0,0,False,True,False
388,nsale,5700.0,1,False,True,False
389,metgala,76240.0,44,False,True,False
432,peopleschoiceawards,1270.0,0,False,True,False
511,bbmas,38300.0,269,False,True,False
573,tylie,3470.0,0,False,True,False
610,leopardprint,3170.0,27,False,True,False
647,mmfw,2860.0,0,False,True,False
676,betawards,31550.0,1,False,True,False
701,instacute,1890.0,38,False,True,False
718,mtvema,62970.0,3,False,True,False
762,momtobe,3450.0,268,False,True,False
827,streetphotography,6660.0,52,False,True,False
836,glitten,3980.0,1942,False,True,False
839,mommytobe,7220.0,219,False,True,False
842,hacing,5870.0,91,False,True,False
865,tokion,4760.0,13,False,True,False
873,crowsfeet,5410.0,1,False,True,False
946,fashionblogger,8110.0,2199,False,True,False
977,instafashion,5900.0,1980,False,True,False
1072,armcandy,10960.0,157,False,True,False
1162,goldenglobe,3330.0,22,False,True,False
1233,aactas,1960.0,12,False,True,False
1252,d-frame,14900.0,0,False,True,False
1297,sagawards,2080.0,51,False,True,False
1367,dupioni,18800.0,16,False,True,False
1381,mtvu,16600.0,0,False,True,False
1414,midkini,76100.0,1,False,True,False
1438,pashli,20100.0,1,False,True,False
1464,wiwt,24300.0,375,False,True,False
1471,photooftheday,15500.0,1297,False,True,False
1485,picoftheday,23600.0,1938,False,True,False
1492,pouchette,13580.0,9,False,True,False
1555,littleblackdress,22700.0,42,False,True,False
1591,neutrals,18400.0,1187,False,True,False
1618,lipscrub,12320.0,10,False,True,False
1630,lowlight,17600.0,25,False,True,False
1635,instadaily,14780.0,1393,False,True,False
1645,bbma,71100.0,6,False,True,False
1649,rashies,12020.0,61,False,True,False
1664,baftas,135200.0,78,False,True,False
1753,goldenglobes,3890.0,21,False,True,False
1759,cutoffs,28800.0,236,False,True,False
1766,minimizing,25400.0,65,False,True,False
1792,v-necks,36900.0,0,False,True,False
1802,wrislet,20000.0,84,False,True,False
1870,basketweave,22300.0,36,False,True,False
1889,accentuating,31100.0,19,False,True,False
1917,monocles,38300.0,17,False,True,False
1943,pandaboard,47200.0,0,False,True,False
1956,nyfw,197800.0,968,False,True,False
1964,sleepshirts,21900.0,4,False,True,False
1974,peopleschoice,44400.0,1,False,True,False
2003,shortalls,119800.0,15,False,True,False
2021,lfw,83200.0,849,False,True,False
2122,headpieces,80900.0,365,False,True,False
2167,sweatshorts,76700.0,165,False,True,False
2174,pfw,67500.0,973,False,True,False
2241,up-dos,77100.0,0,False,True,False
2248,cubeez,40900.0,0,False,True,False
2250,shortboard,90400.0,3,False,True,False
2265,babybump,58400.0,324,False,True,False
2272,lasercut,52400.0,46,False,True,False
2288,shantung,77400.0,33,False,True,False
2323,vmas,880500.0,22,False,True,False
2339,luminizer,50600.0,42,False,True,False
2381,espys,649100.0,0,False,True,False
2393,tolani,111100.0,159,False,True,False
2406,waterski,101100.0,4,False,True,False
2411,broga,96700.0,1,False,True,False
2419,hummingboard,90200.0,76,False,True,False
2528,balconette,90900.0,62,False,True,False
2535,cmts,108400.0,0,False,True,False
2540,uffie,96300.0,5,False,True,False
2576,netduino,100700.0,0,False,True,False
2578,pastelle,57500.0,47,False,True,False
2585,draping,96300.0,1082,False,True,False
2592,fatigues,78600.0,231,False,True,False
2593,knits,80700.0,412,False,True,False
2598,charmeuse,92700.0,40,False,True,False
2600,skimmers,96300.0,33,False,True,False
2632,instagood,57300.0,2166,False,True,False
2645,aacta,21800.0,6,False,True,False
2653,pcas,86400.0,0,False,True,False
2671,d'orsay,144900.0,81,False,True,False
2720,shirtdress,183200.0,259,False,True,False
2752,cheekies,81900.0,7,False,True,False
2764,zerogrand,67200.0,27,False,True,False
2801,flatforms,205900.0,193,False,True,False
2809,igers,136800.0,254,False,True,False
2816,streetstyle,107900.0,4113,False,True,False
2830,matelasse,179900.0,54,False,True,False
2849,turbans,127000.0,73,False,True,False
2854,wiw,141200.0,535,False,True,False
2864,fransen,184600.0,55,False,True,False
2865,headscarf,116300.0,33,False,True,False
2882,udoo,143900.0,0,False,True,False
2915,ripstop,152000.0,41,False,True,False
2924,balding,124300.0,37,False,True,False
2936,minaudiere,142800.0,46,False,True,False
2955,lunargrand,134600.0,0,False,True,False
2960,highlighting,121700.0,513,False,True,False
2965,felle,105600.0,1,False,True,False
2980,bnwt,119500.0,0,False,True,False
3032,athleisure,117200.0,653,False,True,False
3042,handwarmer,56700.0,0,False,True,False
3050,emmys,784800.0,82,False,True,False
3101,coatigan,116600.0,4,False,True,False
3117,concho,146600.0,100,False,True,False
3141,followme,157900.0,425,False,True,False
3195,candelabras,225300.0,30,False,True,False
3197,cmas,280000.0,9,False,True,False
3203,embellishments,257500.0,389,False,True,False
3254,sunspots,227800.0,14,False,True,False
3271,wingtip,180100.0,98,False,True,False
3295,tsovet,149900.0,14,False,True,False
3310,meggings,167900.0,1,False,True,False
3323,paddleboard,365500.0,45,False,True,False
3324,kneeboard,289200.0,0,False,True,False
3327,fringes,245000.0,560,False,True,False
3328,headwrap,168100.0,42,False,True,False
3349,blemishes,231900.0,194,False,True,False
3360,brits,276400.0,74,False,True,False
3384,miraclesuit,515700.0,67,False,True,False
3386,detangler,200700.0,87,False,True,False
3399,gorjana,165400.0,168,False,True,False
3423,cords,203100.0,122,False,True,False
3438,georgette,263800.0,116,False,True,False
3449,kimye,161700.0,35,False,True,False
3469,tonys,272300.0,3,False,True,False
3502,bifocals,241700.0,3,False,True,False
3558,scrunchie,291600.0,18,False,True,False
3589,petites,725700.0,969,False,True,False
3606,jetset,371500.0,117,False,True,False
3622,nieten,433900.0,16,False,True,False
3630,otk,352100.0,30,False,True,False
3655,exfoliator,310100.0,93,False,True,False
3665,crewneck,231800.0,271,False,True,False
3678,loden,265600.0,1,False,True,False
3680,wrinkles,340100.0,692,False,True,False
3697,neopren,506700.0,249,False,True,False
3707,bedhead,279600.0,97,False,True,False
3713,brows,248900.0,1468,False,True,False
3732,brights,175900.0,1323,False,True,False
3751,embroidered,417500.0,1924,False,True,False
3782,gauchos,472500.0,53,False,True,False
3785,savings,415900.0,2615,False,True,False
3786,bralet,483100.0,93,False,True,False
3799,amas,680900.0,24,False,True,False
3823,skincare,430700.0,4253,False,True,False
3827,readers,378900.0,1059,False,True,False
3834,whiteheads,432300.0,18,False,True,False
3842,pinstripes,393700.0,167,False,True,False
3843,zits,438100.0,44,False,True,False
3850,undershirts,353000.0,18,False,True,False
3855,tagsforlikes,483100.0,355,False,True,False
3858,wearables,476100.0,499,False,True,False
3867,skimboard,708100.0,2,False,True,False
3884,strobing,504300.0,206,False,True,False
3889,skort,1199000.0,63,False,True,False
3896,aviators,561500.0,303,False,True,False
3897,fallon,521500.0,923,False,True,False
3899,hotpants,753000.0,10,False,True,False
3907,preppy,566500.0,341,False,True,False
3913,kamut,722000.0,4,False,True,False
3918,ponte,559500.0,136,False,True,False
3926,normcore,680500.0,44,False,True,False
3933,barrettes,396700.0,102,False,True,False
3942,rollerball,442900.0,43,False,True,False
3943,tees,705500.0,2203,False,True,False
3953,jacquard,599500.0,445,False,True,False
3961,boardshorts,948000.0,202,False,True,False
3963,lcm,741500.0,85,False,True,False
3970,anti-aging,695500.0,181,False,True,False
3973,espadrille,979000.0,935,False,True,False
3979,fabfitfun,378000.0,120,False,True,False
4010,threading,579500.0,31,False,True,False
4012,ruffles,573000.0,1399,False,True,False
4022,memebox,501300.0,14,False,True,False
4030,rashguard,973500.0,132,False,True,False
4032,vma,1881000.0,19,False,True,False
4045,mfw,773500.0,699,False,True,False
4058,tyvek,800500.0,3,False,True,False
4072,navajo,779500.0,52,False,True,False
4080,organza,760000.0,211,False,True,False
4082,photoshoot,746500.0,1288,False,True,False
4089,slacks,773500.0,155,False,True,False
4093,shoelaces,711000.0,32,False,True,False
4105,beutel,820000.0,7,False,True,False
4113,mules,853000.0,333,False,True,False
4122,khakis,719500.0,517,False,True,False
4151,sequins,591000.0,761,False,True,False
4163,slg,1121000.0,11,False,True,False
4164,windsurf,1667500.0,3,False,True,False
4168,bodyboard,1195000.0,0,False,True,False
4177,highlighters,1245000.0,814,False,True,False
4189,clutches,2240500.0,263,False,True,False
4194,sliders,995500.0,263,False,True,False
4206,bowtie,763000.0,315,False,True,False
4212,madras,995500.0,73,False,True,False
4223,checks,1132000.0,252,False,True,False
4273,houndstooth,755000.0,65,False,True,False
4279,gaucho,1260000.0,111,False,True,False
4286,kitesurf,1632000.0,1,False,True,False
4291,superfood,747500.0,480,False,True,False
4296,farro,1410000.0,52,False,True,False
4298,grammys,2135300.0,87,False,True,False
4344,monokini,2663000.0,133,False,True,False
4347,scuba,1335000.0,170,False,True,False
4359,stripes,1210000.0,4075,False,True,False
4367,wakeboard,2539000.0,2,False,True,False
4380,nair,1101500.0,25,False,True,False
4396,bangs,1215500.0,509,False,True,False
4399,wetsuit,1809000.0,128,False,True,False
4403,moisturizer,1226000.0,1015,False,True,False
4405,dungarees,1290500.0,147,False,True,False
4411,henley,1132000.0,253,False,True,False
4415,wraps,1460000.0,422,False,True,False
4417,sunscreen,2926000.0,605,False,True,False
4418,prints,1485500.0,2946,False,True,False
4420,cami,1290500.0,394,False,True,False
4440,oscars,5067500.0,296,False,True,False
4451,spf,1665000.0,701,False,True,False
4461,tankini,5618000.0,179,False,True,False
4465,jockstrap,1610000.0,4,False,True,False
4470,cmt,2265000.0,50,False,True,False
4472,trunks,1791000.0,1166,False,True,False
4479,gilet,1361000.0,89,False,True,False
4491,wellies,1396500.0,73,False,True,False
4497,birkenstocks,2361000.0,67,False,True,False
4510,cannes,4060000.0,465,False,True,False
4513,ootd,2139000.0,10958,False,True,False
4519,acai,2103000.0,152,False,True,False
4520,aztec,1610000.0,225,False,True,False
4524,tunics,1283500.0,771,False,True,False
4525,chinos,1665000.0,317,False,True,False
4527,highlighter,1352500.0,843,False,True,False
4528,urbanears,1007000.0,11,False,True,False
4531,masks,1733000.0,602,False,True,False
4546,creepers,1791000.0,99,False,True,False
4552,tie-dye,2528000.0,74,False,True,False
4553,carry-on,1550000.0,25,False,True,False
4570,cma,2311000.0,35,False,True,False
4579,marsala,2212000.0,102,False,True,False
4591,microdermabrasion,1959000.0,33,False,True,False
4594,spandex,2067000.0,125,False,True,False
4596,aromatherapy,1431000.0,111,False,True,False
4597,latte,1863000.0,592,False,True,False
4600,cellulite,3102000.0,161,False,True,False
4609,tbt,3001000.0,5020,False,True,False
4612,shapewear,2274000.0,49,False,True,False
4626,bodysuit,1933000.0,975,False,True,False
4643,vests,1247000.0,100,False,True,False
4645,clogs,2781000.0,113,False,True,False
4652,eyeshadow,1667000.0,1715,False,True,False
4660,goth,2121000.0,211,False,True,False
4662,melaleuca,3201000.0,2,False,True,False
4663,turtleneck,1244000.0,223,False,True,False
4671,glossybox,2581000.0,35,False,True,False
4672,ponchos,1570000.0,349,False,True,False
4688,bobs,2445000.0,160,False,True,False
4701,hairspray,2626000.0,228,False,True,False
4702,figurines,1723000.0,84,False,True,False
4711,rucksÌ_cke,2150000.0,0,False,True,False
4716,bralette,2509000.0,724,False,True,False
4718,yogurt,3914000.0,1187,False,True,False
4719,boxers,2176000.0,926,False,True,False
4723,totes,2320000.0,333,False,True,False
4724,instyler,2044000.0,668,False,True,False
4727,matcha,3335000.0,336,False,True,False
4729,jumpsuits,3563000.0,1942,False,True,False
4731,boutique,2926000.0,3621,False,True,False
4736,triathlon,4557000.0,158,False,True,False
4744,mittens,1227100.0,63,False,True,False
4747,braids,2745000.0,2760,False,True,False
4748,wedges,6384000.0,1270,False,True,False
4754,coachella,8230000.0,13534,False,True,False
4759,bulgari,2275000.0,193,False,True,False
4761,hiking,2881000.0,738,False,True,False
4763,bikinis,5058000.0,2656,False,True,False
4771,lips,2891000.0,3275,False,True,False
4787,smoothie,5550000.0,2019,False,True,False
4791,headbands,2938000.0,249,False,True,False
4793,promo,3479000.0,1528,False,True,False
4799,pumps,4881000.0,1578,False,True,False
4801,rosacea,4294000.0,69,False,True,False
4808,rockabilly,4309000.0,27,False,True,False
4811,weheartit,5386000.0,20,False,True,False
4817,drivers,3941000.0,1174,False,True,False
4821,cappuccino,3512000.0,135,False,True,False
4828,tanks,3180000.0,364,False,True,False
4830,maxi,3713000.0,2801,False,True,False
4832,burgundy,2587000.0,431,False,True,False
4834,bandana,4822000.0,693,False,True,False
4837,briefcase,2658000.0,227,False,True,False
4842,moccasins,2497000.0,158,False,True,False
4844,latina,4558000.0,310,False,True,False
4849,jeggings,3311000.0,61,False,True,False
4851,nuts,3142000.0,607,False,True,False
4870,pantyhose,4093000.0,16,False,True,False
4871,skirts,6019000.0,735,False,True,False
4874,bvlgari,3594000.0,54,False,True,False
4876,eyeliner,3810000.0,1408,False,True,False
4879,contouring,2850000.0,891,False,True,False
4895,bedspreads,6869000.0,21,False,True,False
4896,trainers,3483000.0,1418,False,True,False
4897,oscar,5756000.0,1320,False,True,False
4902,cufflinks,3910000.0,187,False,True,False
4905,swimwear,9906000.0,2424,False,True,False
4906,ties,3044000.0,742,False,True,False
4910,ombre,5950000.0,701,False,True,False
4911,tangerine,4904000.0,192,False,True,False
4919,espresso,6196000.0,459,False,True,False
4924,fedora,5750000.0,319,False,True,False
4926,studs,1632500.0,567,False,True,False
4949,ipsy,6142000.0,119,False,True,False
4958,activewear,3679000.0,979,False,True,False
4959,quilts,12275000.0,65,False,True,False
4970,sweatshirts,3894000.0,489,False,True,False
4975,flats,5154000.0,1479,False,True,False
4981,sweatpants,4182000.0,215,False,True,False
4992,g-star,7634000.0,0,False,True,False
4995,scrubs,9584000.0,496,False,True,False
4997,booties,5047000.0,831,False,True,False
5001,jumpsuit,8534000.0,1939,False,True,False
5006,heels,9575000.0,4380,False,True,False
5007,sleepwear,3164000.0,104,False,True,False
5008,gowns,3026000.0,1048,False,True,False
5010,cologne,4406000.0,193,False,True,False
5015,retro,8003000.0,2886,False,True,False
5033,coats,5046000.0,592,False,True,False
5037,joggers,6537000.0,462,False,True,False
5039,birchbox,8030000.0,258,False,True,False
5044,sweatshirt,5259000.0,940,False,True,False
5056,halloween,63282000.0,507,False,True,False
5059,sandals,22910000.0,5856,False,True,False
5066,loafers,12289000.0,709,False,True,False
5069,selfie,13200000.0,3954,False,True,False
5070,gifts,4556000.0,1680,False,True,False
5072,longboard,17430000.0,177,False,True,False
5077,crossfit,18150000.0,321,False,True,False
5081,snowboard,7081000.0,365,False,True,False
5083,wallets,9435000.0,631,False,True,False
5086,amway,16830000.0,0,False,True,False
5090,sunglasses,27910000.0,3673,False,True,False
5091,sneakers,14880000.0,5347,False,True,False
5094,gloves,6819000.0,619,False,True,False
5095,suits,19710000.0,1220,False,True,False
5099,arduino,17260000.0,0,False,True,False
5101,crocs,22740000.0,69,False,True,False
5106,onesie,7550000.0,200,False,True,False
5112,bracelets,7746000.0,1424,False,True,False
5118,backpack,28730000.0,1933,False,True,False
5121,bras,14286000.0,567,False,True,False
5122,friends,20950000.0,12497,False,True,False
5124,hanukkah,3605500.0,6,False,True,False
5126,leggings,15246000.0,1723,False,True,False
5129,skateboard,15213000.0,874,False,True,False
5130,rings,15970000.0,2360,False,True,False
5131,jackets,13176000.0,1500,False,True,False
5137,bts,13289000.0,1724,False,True,False
5139,g-shock,20540000.0,0,False,True,False
5140,girls,23590000.0,9163,False,True,False
5146,smartwatch,14683000.0,128,False,True,False
5148,moto,51350000.0,752,False,True,False
5149,earrings,23630000.0,3449,False,True,False
5154,makeup,21370000.0,17737,False,True,False
5162,slippers,15159000.0,511,False,True,False
5163,handbags,57200000.0,882,False,True,False
5167,headphones,48810000.0,438,False,True,False
5168,sweaters,22638000.0,454,False,True,False
5171,dresses,79580000.0,10090,False,True,False
5172,watches,54840000.0,2454,False,True,False
5173,smartphone,45230000.0,713,False,True,False
5175,cars,116380000.0,1051,False,True,False
5176,ipad,74440000.0,610,False,True,False
5178,iphone,101740000.0,2355,False,True,False
5180,fitbit,69440000.0,232,False,True,False
5182,shoes,113980000.0,13019,False,True,False
5183,christmas,33480000.0,501,False,True,False
5184,lego,131440000.0,426,False,True,False
5189,bgextraordinary,0.0,0,True,True,False
5202,victorian,906000.0,521,False,True,False
5230,tracksuit,972500.0,152,False,True,False
5277,nordstromvan,0.0,26,True,True,False
5309,pregnancystyle,0.0,244,True,True,False
5323,bridalweek,430.0,76,False,True,False
5338,pregnantfashion,0.0,233,True,True,False
5344,nextootd,0.0,0,True,True,False
5347,nosebum,0.0,0,True,True,False
5353,bridalfashionweek,150.0,896,True,True,False
5362,cfdaswarovski,0.0,0,True,True,False
5367,londonfashionwk,0.0,79,True,True,False
5390,polartec,249500.0,2,False,True,False
5404,swarovskicollective,0.0,8,True,True,False
5412,100gala,0.0,0,True,True,False
5465,bifaawards,0.0,0,True,True,False
5471,bumpchic,0.0,224,True,True,False
5534,time100gala,0.0,0,True,True,False
5540,pregnantstyle,0.0,244,True,True,False
5548,nordstromto,0.0,6,True,True,False
5608,nordstromott,0.0,0,True,True,False
5620,nordstromyvr,0.0,5,True,True,False
5640,spirulina,5542000.0,36,False,True,False
5642,cfdanyfw,0.0,0,True,True,False
