,trend,total_volume,social_buzz,more_social,one_word,actual_word,actual_word_2,urban_term,brand_term,retail_distribution
1,saksutopia,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
2,oscars2016,0,9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5,cfdaawards,480,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
27,pregnancyfashion,120,233,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
28,hollywoodawards,150,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
31,maternitystyle,230,389,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
32,mkshanghai,110,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
35,maternityfashion,190,283,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
36,microdermobrasian,120,32,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
53,sakscanada,60,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
84,mpfw,620,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
95,acmawards,4070,330,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
106,milanfashionweek,610,29,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
112,cmtawards,1880,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
118,parisfashionweek,1280,61,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
125,trapeztaschen,570,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
170,emmyawards,1310,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
217,tribecafilm,1100,10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
227,pmfw,1160,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
242,fashiondiaries,1400,410,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
243,cmaawards,3480,32,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
306,criticschoice,900,11,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
307,styleweek,1210,10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
310,lookoftheday,2030,606,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
333,nyfwm,7560,33,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
337,teenchoice,43050,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
342,styleblogger,1830,438,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
343,fabmom,1850,224,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
359,pictureoftheday,1600,38,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
373,latingrammy,5020,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
389,metgala,76240,44,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
511,bbmas,38300,269,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
647,mmfw,2860,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
701,instacute,1890,38,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
718,mtvema,62970,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
762,momtobe,3450,268,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
839,mommytobe,7220,219,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
865,tokion,4760,13,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
977,instafashion,5900,1980,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
1233,aactas,1960,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
1297,sagawards,2080,51,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
1471,photooftheday,15500,1297,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
1485,picoftheday,23600,1938,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
1618,lipscrub,12320,10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
1635,instadaily,14780,1393,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
1645,bbma,71100,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
1943,pandaboard,47200,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
2248,cubeez,40900,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
2419,hummingboard,90200,76,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
2576,netduino,100700,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
2645,aacta,21800,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
2882,udoo,143900,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
3855,tagsforlikes,483100,355,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
3913,kamut,722000,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
4671,glossybox,2581000,35,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
4711,rucksí_cke,2150000,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5189,bgextraordinary,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5277,nordstromvan,0,26,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5309,pregnancystyle,0,244,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5323,bridalweek,430,76,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5338,pregnantfashion,0,233,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5344,nextootd,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5347,nosebum,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5353,bridalfashionweek,150,896,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5362,cfdaswarovski,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5367,londonfashionwk,0,79,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5404,swarovskicollective,0,8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5412,100gala,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5465,bifaawards,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5471,bumpchic,0,224,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5534,time100gala,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5540,pregnantstyle,0,244,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5548,nordstromto,0,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5608,nordstromott,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5620,nordstromyvr,0,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5642,cfdanyfw,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0