,trend,total_volume,social_buzz,more_social,one_word
1,saksutopia,0.0,0,True,True
2,oscars2016,0.0,9,True,True
5,cfdaawards,480.0,12,False,True
6,billboardmusicawards,1260.0,5,False,True
24,mtvmovieawards,7090.0,1003,False,True
27,pregnancyfashion,120.0,233,True,True
28,hollywoodawards,150.0,4,False,True
31,maternitystyle,230.0,389,True,True
32,mkshanghai,110.0,0,False,True
35,maternityfashion,190.0,283,True,True
36,microdermobrasian,120.0,32,False,True
53,sakscanada,60.0,6,False,True
65,criticschoiceawards,230.0,3,False,True
84,mpfw,620.0,0,False,True
90,cannesfilmfestival,690.0,5,False,True
95,acmawards,4070.0,330,False,True
96,mtvvma,5170.0,3,False,True
101,newyorkfashionweek,1540.0,34,False,True
102,burshed,330.0,0,False,True
106,milanfashionweek,610.0,29,False,True
112,cmtawards,1880.0,0,False,True
118,parisfashionweek,1280.0,61,False,True
125,trapeztaschen,570.0,0,False,True
133,tonyawards,3850.0,23,False,True
153,laminted,650.0,40,False,True
170,emmyawards,1310.0,0,False,True
184,lowlighting,530.0,0,False,True
217,tribecafilm,1100.0,10,False,True
227,pmfw,1160.0,0,False,True
236,academyawards,2760.0,4,False,True
242,fashiondiaries,1400.0,410,False,True
243,cmaawards,3480.0,32,False,True
248,teenchoiceawards,22320.0,0,False,True
285,cottoninc,1400.0,0,False,True
303,londonfashionweek,5610.0,48,False,True
306,criticschoice,900.0,11,False,True
307,styleweek,1210.0,10,False,True
310,lookoftheday,2030.0,606,False,True
333,nyfwm,7560.0,33,False,True
337,teenchoice,43050.0,0,False,True
342,styleblogger,1830.0,438,False,True
343,fabmom,1850.0,224,False,True
358,armparty,1640.0,81,False,True
359,pictureoftheday,1600.0,38,False,True
373,latingrammy,5020.0,0,False,True
388,nsale,5700.0,1,False,True
389,metgala,76240.0,44,False,True
432,peopleschoiceawards,1270.0,0,False,True
511,bbmas,38300.0,269,False,True
573,tylie,3470.0,0,False,True
610,leopardprint,3170.0,27,False,True
647,mmfw,2860.0,0,False,True
676,betawards,31550.0,1,False,True
701,instacute,1890.0,38,False,True
718,mtvema,62970.0,3,False,True
762,momtobe,3450.0,268,False,True
827,streetphotography,6660.0,52,False,True
836,glitten,3980.0,1942,False,True
839,mommytobe,7220.0,219,False,True
841,oiliness,6270.0,15,False,True
842,hacing,5870.0,91,False,True
865,tokion,4760.0,13,False,True
873,crowsfeet,5410.0,1,False,True
946,fashionblogger,8110.0,2199,False,True
977,instafashion,5900.0,1980,False,True
1072,armcandy,10960.0,157,False,True
1128,brightener,10160.0,87,False,True
1162,goldenglobe,3330.0,22,False,True
1233,aactas,1960.0,12,False,True
1252,d-frame,14900.0,0,False,True
1297,sagawards,2080.0,51,False,True
1367,dupioni,18800.0,16,False,True
1381,mtvu,16600.0,0,False,True
1414,midkini,76100.0,1,False,True
1438,pashli,20100.0,1,False,True
1464,wiwt,24300.0,375,False,True
1471,photooftheday,15500.0,1297,False,True
1485,picoftheday,23600.0,1938,False,True
1492,pouchette,13580.0,9,False,True
1509,shirting,17900.0,248,False,True
1555,littleblackdress,22700.0,42,False,True
1591,neutrals,18400.0,1187,False,True
1618,lipscrub,12320.0,10,False,True
1630,lowlight,17600.0,25,False,True
1635,instadaily,14780.0,1393,False,True
1645,bbma,71100.0,6,False,True
1649,rashies,12020.0,61,False,True
1664,baftas,135200.0,78,False,True
1733,bronzing,28900.0,148,False,True
1753,goldenglobes,3890.0,21,False,True
1759,cutoffs,28800.0,236,False,True
1766,minimizing,25400.0,65,False,True
1792,v-necks,36900.0,0,False,True
1802,wrislet,20000.0,84,False,True
1870,basketweave,22300.0,36,False,True
1889,accentuating,31100.0,19,False,True
1917,monocles,38300.0,17,False,True
1943,pandaboard,47200.0,0,False,True
1956,nyfw,197800.0,968,False,True
1964,sleepshirts,21900.0,4,False,True
1970,dryness,37600.0,123,False,True
1974,peopleschoice,44400.0,1,False,True
2003,shortalls,119800.0,15,False,True
2008,puffiness,33700.0,55,False,True
2021,lfw,83200.0,849,False,True
2041,suiting,48500.0,265,False,True
2122,headpieces,80900.0,365,False,True
2167,sweatshorts,76700.0,165,False,True
2174,pfw,67500.0,973,False,True
2188,dullness,49200.0,47,False,True
2212,challis,56600.0,10,False,True
2241,up-dos,77100.0,0,False,True
2248,cubeez,40900.0,0,False,True
2250,shortboard,90400.0,3,False,True
2256,boiled,53400.0,220,False,True
2265,babybump,58400.0,324,False,True
2272,lasercut,52400.0,46,False,True
2288,shantung,77400.0,33,False,True
2323,vmas,880500.0,22,False,True
2339,luminizer,50600.0,42,False,True
2381,espys,649100.0,0,False,True
2388,faille,76200.0,71,False,True
2393,tolani,111100.0,159,False,True
2406,waterski,101100.0,4,False,True
2411,broga,96700.0,1,False,True
2419,hummingboard,90200.0,76,False,True
2528,balconette,90900.0,62,False,True
2535,cmts,108400.0,0,False,True
2540,uffie,96300.0,5,False,True
2576,netduino,100700.0,0,False,True
2578,pastelle,57500.0,47,False,True
2585,draping,96300.0,1082,False,True
2592,fatigues,78600.0,231,False,True
2593,knits,80700.0,412,False,True
2598,charmeuse,92700.0,40,False,True
2600,skimmers,96300.0,33,False,True
2632,instagood,57300.0,2166,False,True
2645,aacta,21800.0,6,False,True
2653,pcas,86400.0,0,False,True
2659,redness,73500.0,181,False,True
2665,capelet,84900.0,28,False,True
2671,d'orsay,144900.0,81,False,True
2698,shadowing,117700.0,11,False,True
2720,shirtdress,183200.0,259,False,True
2752,cheekies,81900.0,7,False,True
2764,zerogrand,67200.0,27,False,True
2795,hanky,93000.0,100,False,True
2801,flatforms,205900.0,193,False,True
2809,igers,136800.0,254,False,True
2816,streetstyle,107900.0,4113,False,True
2830,matelasse,179900.0,54,False,True
2849,turbans,127000.0,73,False,True
2854,wiw,141200.0,535,False,True
2864,fransen,184600.0,55,False,True
2865,headscarf,116300.0,33,False,True
2882,udoo,143900.0,0,False,True
2915,ripstop,152000.0,41,False,True
2924,balding,124300.0,37,False,True
2936,minaudiere,142800.0,46,False,True
2955,lunargrand,134600.0,0,False,True
2960,highlighting,121700.0,513,False,True
2965,felle,105600.0,1,False,True
2980,bnwt,119500.0,0,False,True
3032,athleisure,117200.0,653,False,True
3042,handwarmer,56700.0,0,False,True
3050,emmys,784800.0,82,False,True
3060,shimmering,108800.0,304,False,True
3061,chintz,199900.0,40,False,True
3101,coatigan,116600.0,4,False,True
3117,concho,146600.0,100,False,True
3124,beaded,125100.0,1017,False,True
3141,followme,157900.0,425,False,True
3143,shading,167300.0,6299,False,True
3173,neckerchief,154000.0,21,False,True
3175,upscale,179300.0,157,False,True
3195,candelabras,225300.0,30,False,True
3197,cmas,280000.0,9,False,True
3203,embellishments,257500.0,389,False,True
3219,eyelet,231900.0,541,False,True
3221,poplin,207300.0,389,False,True
3245,updo,220400.0,503,False,True
3254,sunspots,227800.0,14,False,True
3264,blending,190000.0,406,False,True
3271,wingtip,180100.0,98,False,True
3295,tsovet,149900.0,14,False,True
3310,meggings,167900.0,1,False,True
3323,paddleboard,365500.0,45,False,True
3324,kneeboard,289200.0,0,False,True
3327,fringes,245000.0,560,False,True
3328,headwrap,168100.0,42,False,True
3349,blemishes,231900.0,194,False,True
3359,illuminator,176100.0,359,False,True
3360,brits,276400.0,74,False,True
3383,slouch,225300.0,252,False,True
3384,miraclesuit,515700.0,67,False,True
3386,detangler,200700.0,87,False,True
3399,gorjana,165400.0,168,False,True
3407,ladylike,258900.0,206,False,True
3423,cords,203100.0,122,False,True
3438,georgette,263800.0,116,False,True
3449,kimye,161700.0,35,False,True
3469,tonys,272300.0,3,False,True
3470,cheilitis,263800.0,0,False,True
3502,bifocals,241700.0,3,False,True
3513,taffeta,279600.0,71,False,True
3554,wilt,293200.0,39,False,True
3558,scrunchie,291600.0,18,False,True
3567,nightie,219500.0,31,False,True
3583,quilted,163500.0,406,False,True
3584,moire,299200.0,69,False,True
3586,ikat,353500.0,118,False,True
3589,petites,725700.0,969,False,True
3595,netting,501300.0,33,False,True
3600,cummerbund,383300.0,5,False,True
3606,jetset,371500.0,117,False,True
3611,seersucker,660300.0,171,False,True
3614,reversible,311200.0,555,False,True
3622,nieten,433900.0,16,False,True
3630,otk,352100.0,30,False,True
3642,bafta,581000.0,66,False,True
3646,woven,371500.0,1461,False,True
3655,exfoliator,310100.0,93,False,True
3656,undershirt,316700.0,17,False,True
3665,crewneck,231800.0,271,False,True
3678,loden,265600.0,1,False,True
3680,wrinkles,340100.0,692,False,True
3697,neopren,506700.0,249,False,True
3699,hydration,430700.0,545,False,True
3707,bedhead,279600.0,97,False,True
3711,twill,378900.0,434,False,True
3713,brows,248900.0,1468,False,True
3732,brights,175900.0,1323,False,True
3748,chambray,650500.0,853,False,True
3751,embroidered,417500.0,1924,False,True
3767,gingham,550500.0,485,False,True
3782,gauchos,472500.0,53,False,True
3785,savings,415900.0,2615,False,True
3786,bralet,483100.0,93,False,True
3797,shimmer,380300.0,944,False,True
3799,amas,680900.0,24,False,True
3817,teff,426500.0,2,False,True
3823,skincare,430700.0,4253,False,True
3827,readers,378900.0,1059,False,True
3834,whiteheads,432300.0,18,False,True
3842,pinstripes,393700.0,167,False,True
3843,zits,438100.0,44,False,True
3848,sporty,439700.0,979,False,True
3850,undershirts,353000.0,18,False,True
3851,hyperpigmentation,557500.0,34,False,True
3855,tagsforlikes,483100.0,355,False,True
3858,wearables,476100.0,499,False,True
3867,skimboard,708100.0,2,False,True
3873,voile,654500.0,114,False,True
3884,strobing,504300.0,206,False,True
3889,skort,1199000.0,63,False,True
3896,aviators,561500.0,303,False,True
3897,fallon,521500.0,923,False,True
3899,hotpants,753000.0,10,False,True
3907,preppy,566500.0,341,False,True
3913,kamut,722000.0,4,False,True
3918,ponte,559500.0,136,False,True
3926,normcore,680500.0,44,False,True
3927,sebum,490500.0,40,False,True
3933,barrettes,396700.0,102,False,True
3942,rollerball,442900.0,43,False,True
3943,tees,705500.0,2203,False,True
3953,jacquard,599500.0,445,False,True
3961,boardshorts,948000.0,202,False,True
3963,lcm,741500.0,85,False,True
3970,anti-aging,695500.0,181,False,True
3973,espadrille,979000.0,935,False,True
3979,fabfitfun,378000.0,120,False,True
4003,asymmetrical,533200.0,259,False,True
4010,threading,579500.0,31,False,True
4012,ruffles,573000.0,1399,False,True
4022,memebox,501300.0,14,False,True
4030,rashguard,973500.0,132,False,True
4032,vma,1881000.0,19,False,True
4045,mfw,773500.0,699,False,True
4058,tyvek,800500.0,3,False,True
4060,brocade,679000.0,83,False,True
4068,bandeau,1165000.0,304,False,True
4071,bangle,591000.0,900,False,True
4072,navajo,779500.0,52,False,True
4080,organza,760000.0,211,False,True
4082,photoshoot,746500.0,1288,False,True
4089,slacks,773500.0,155,False,True
4093,shoelaces,711000.0,32,False,True
4095,optical,706000.0,453,False,True
4100,thatcher,662000.0,27,False,True
4105,beutel,820000.0,7,False,True
4110,damask,733000.0,60,False,True
4113,mules,853000.0,333,False,True
4119,sheepskin,542000.0,89,False,True
4122,khakis,719500.0,517,False,True
4134,bridal,1001500.0,6046,False,True
4145,metallic,597500.0,2292,False,True
4150,herringbone,640000.0,218,False,True
4151,sequins,591000.0,761,False,True
4163,slg,1121000.0,11,False,True
4164,windsurf,1667500.0,3,False,True
4168,bodyboard,1195000.0,0,False,True
4175,gauze,711500.0,104,False,True
4176,sunburn,1008000.0,107,False,True
4177,highlighters,1245000.0,814,False,True
4189,clutches,2240500.0,263,False,True
4190,verbena,1322000.0,61,False,True
4194,sliders,995500.0,263,False,True
4196,chiffon,1315500.0,660,False,True
4206,bowtie,763000.0,315,False,True
4208,spelt,1015000.0,24,False,True
4212,madras,995500.0,73,False,True
4216,tubular,606600.0,342,False,True
4222,pimple,776500.0,300,False,True
4223,checks,1132000.0,252,False,True
4230,culottes,1460000.0,472,False,True
4240,chenille,875500.0,25,False,True
4241,anklet,931000.0,1522,False,True
4244,trench,1060500.0,1242,False,True
4245,emulsion,985000.0,23,False,True
4247,cloche,899500.0,24,False,True
4248,mangosteen,1143000.0,4,False,True
4252,peplum,1365000.0,280,False,True
4273,houndstooth,755000.0,65,False,True
4279,gaucho,1260000.0,111,False,True
4281,azalea,1808000.0,612,False,True
4285,colorful,1007500.0,3871,False,True
4286,kitesurf,1632000.0,1,False,True
4291,superfood,747500.0,480,False,True
4296,farro,1410000.0,52,False,True
4298,grammys,2135300.0,87,False,True
4299,perm,1171000.0,81,False,True
4303,briefs,1096000.0,289,False,True
4309,utility,1470000.0,329,False,True
4311,sheer,1137500.0,1583,False,True
4313,minimal,1073500.0,1601,False,True
4326,lilac,1406000.0,437,False,True
4329,waxing,1310000.0,138,False,True
4336,weekender,1082000.0,232,False,True
4338,seaweed,1210000.0,128,False,True
4341,burlap,1470000.0,103,False,True
4344,monokini,2663000.0,133,False,True
4346,ascot,1481500.0,40,False,True
4347,scuba,1335000.0,170,False,True
4355,cloak,980000.0,59,False,True
4359,stripes,1210000.0,4075,False,True
4365,tweed,1214500.0,277,False,True
4367,wakeboard,2539000.0,2,False,True
4368,loafer,924500.0,939,False,True
4374,beret,1220500.0,34,False,True
4380,nair,1101500.0,25,False,True
4391,sombre,1349000.0,42,False,True
4392,sublimation,1651000.0,16,False,True
4394,nautical,1640000.0,721,False,True
4395,linen,1555000.0,2004,False,True
4396,bangs,1215500.0,509,False,True
4398,earring,1123500.0,3865,False,True
4399,wetsuit,1809000.0,128,False,True
4403,moisturizer,1226000.0,1015,False,True
4405,dungarees,1290500.0,147,False,True
4407,conditioner,1162500.0,679,False,True
4411,henley,1132000.0,253,False,True
4415,wraps,1460000.0,422,False,True
4417,sunscreen,2926000.0,605,False,True
4418,prints,1485500.0,2946,False,True
4420,cami,1290500.0,394,False,True
4421,lame,1575000.0,94,False,True
4430,bronzer,1221000.0,1117,False,True
4433,anorak,1239500.0,116,False,True
4434,matte,1162500.0,2503,False,True
4436,mauve,1285000.0,202,False,True
4440,oscars,5067500.0,296,False,True
4444,stiletto,1365000.0,298,False,True
4451,spf,1665000.0,701,False,True
4453,amaranth,1791000.0,14,False,True
4457,mustard,1285000.0,366,False,True
4461,tankini,5618000.0,179,False,True
4465,jockstrap,1610000.0,4,False,True
4466,gown,1500000.0,3940,False,True
4470,cmt,2265000.0,50,False,True
4471,plum,1923000.0,495,False,True
4472,trunks,1791000.0,1166,False,True
4479,gilet,1361000.0,89,False,True
4480,floral,1707000.0,8176,False,True
4481,shopper,1785000.0,895,False,True
4486,want,1798000.0,22065,False,True
4491,wellies,1396500.0,73,False,True
4492,platform,1851000.0,1812,False,True
4494,satchel,1575000.0,537,False,True
4495,festival,2709000.0,12454,False,True
4496,serum,1746000.0,1065,False,True
4497,birkenstocks,2361000.0,67,False,True
4498,corduroy,1189000.0,102,False,True
4500,pack,1420000.0,5079,False,True
4507,chartreuse,1515000.0,78,False,True
4509,mesh,1887000.0,1390,False,True
4510,cannes,4060000.0,465,False,True
4512,jean,1635000.0,2373,False,True
4513,ootd,2139000.0,10958,False,True
4514,polyester,1887000.0,164,False,True
4516,promotion,1635000.0,663,False,True
4517,trousers,2043000.0,1114,False,True
4519,acai,2103000.0,152,False,True
4520,aztec,1610000.0,225,False,True
4522,raincoat,1944500.0,192,False,True
4524,tunics,1283500.0,771,False,True
4525,chinos,1665000.0,317,False,True
4527,highlighter,1352500.0,843,False,True
4528,urbanears,1007000.0,11,False,True
4529,caftan,2064000.0,197,False,True
4531,masks,1733000.0,602,False,True
4535,thermal,987000.0,177,False,True
4542,satin,1550000.0,940,False,True
4543,dandruff,1395000.0,92,False,True
4544,romper,3566000.0,1711,False,True
4545,canary,1270500.0,107,False,True
4546,creepers,1791000.0,99,False,True
4552,tie-dye,2528000.0,74,False,True
4553,carry-on,1550000.0,25,False,True
4555,boho,2445000.0,3706,False,True
4558,resort,2103000.0,1879,False,True
4563,slip,2265000.0,1922,False,True
4569,mousse,1641000.0,440,False,True
4570,cma,2311000.0,35,False,True
4571,wristlet,1209000.0,86,False,True
4573,tote,1995000.0,2034,False,True
4576,snood,1042500.0,5,False,True
